食物名称,热量,食物热量详情页
嘉顿 生命面包 450g,热量：284 大卡(每100克),http://www.boohee.com/shiwu/shengmingmaibaopaiquanmaiqiepianmianbao
包子(三鲜馅),热量：223 大卡(每100克),http://www.boohee.com/shiwu/baozi_sanxianxian
馒头，又叫手工馒头、大馒头,热量：223 大卡(每100克),http://www.boohee.com/shiwu/mantou_junzhi
油饼,热量：403 大卡(每100克),http://www.boohee.com/shiwu/youbing
Easy Fun 低脂全麦面包,热量：259 大卡(每100克),http://www.boohee.com/shiwu/fd6ac35c
Easy Fun 紫薯营养粥,热量：319 大卡(每100毫升),http://www.boohee.com/shiwu/fde8f0ff
单层汉堡(夹肉饼，加调料酱和蔬菜)，又叫汉堡,热量：256 大卡(每100克),http://www.boohee.com/shiwu/hanbaobao_putongxing_jiaroubing_jiadiaoliaojiangheshucai
紫薯，又叫甘薯（紫色）,热量：133 大卡(每100克),http://www.boohee.com/shiwu/zishu
米粉(干)，又叫粉,热量：349 大卡(每100克),http://www.boohee.com/shiwu/mifen
Easy Fun 鹰嘴豆,热量：162 大卡(每100克),http://www.boohee.com/shiwu/fdb36ec1
包子(猪肉馅),热量：227 大卡(每100克),http://www.boohee.com/shiwu/baozi_zhurouxian
米饭，又叫大米饭，饭，蒸米、锅巴饭、煮米饭,热量：116 大卡(每100克),http://www.boohee.com/shiwu/mifan_zheng
Easy Fun 高纤奇亚籽苏打饼干，又叫Easy Fun 高纤 奇亚籽苏打饼干、奇亚籽苏打咸味饼干、苏打饼干、EASY FUN 苏打饼干,热量：436 大卡(每100克),http://www.boohee.com/shiwu/fd47b857
白薯，又叫山芋、红皮山芋，地瓜、甘薯、红皮山芋,热量：106 大卡(每100克),http://www.boohee.com/shiwu/ganshu_baixin
大米，又叫稻米、米、生米,热量：346 大卡(每100克),http://www.boohee.com/shiwu/daomi_junzhi
全麦面包，又叫全麦面包、全麦吐司、全麦面包片、全麦土司,热量：254 大卡(每100克),http://www.boohee.com/shiwu/maipeimianbao
烙饼,热量：258 大卡(每100克),http://www.boohee.com/shiwu/laobing_biaozhunfen
花卷，又叫花之卷、大花卷、小花卷,热量：214 大卡(每100克),http://www.boohee.com/shiwu/huajuan
油条，又叫小油条,热量：388 大卡(每100克),http://www.boohee.com/shiwu/youtiao
曼可顿 全麦高纤维面包,热量：221 大卡(每100克),http://www.boohee.com/shiwu/mankedunquanmaigaoxianweimianbao2
Easy Fun 营养粉丝(香菇炖鸡)，又叫Easy Fun 营养粉丝（香菇炖鸡味）,热量：357 大卡(每100克),http://www.boohee.com/shiwu/fda3bd99
Easy Fun 营养粉丝(牛肉味噌味),热量：363 大卡(每100克),http://www.boohee.com/shiwu/fdbd0231
白粥，又叫白粥（粳米），稀饭，大米粥，白米粥，米粥，大米汤汤,热量：46 大卡(每100克),http://www.boohee.com/shiwu/jingmizhou
Easy Fun 营养粉丝(番茄鸡蛋)，又叫Easy Fun 营养粉丝（番茄鸡蛋味）,热量：348 大卡(每100克),http://www.boohee.com/shiwu/fd81135c
Easy Fun 低脂咖喱鸡饭,热量：179 大卡(每100克),http://www.boohee.com/shiwu/fd87825c
Easy Fun 抹茶红豆麦片,热量：381 大卡(每100克),http://www.boohee.com/shiwu/fd1f7c6f
Easy Fun 高蛋白微波蛋糕预拌粉(香浓可可味),热量：389 大卡(每100克),http://www.boohee.com/shiwu/fd42eab7
Easy Fun 红枣黑米圈(新包装),热量：392 大卡(每100克),http://www.boohee.com/shiwu/fd5ad4f9
Easy Fun 鸡肉松烤麦片,热量：455 大卡(每100克),http://www.boohee.com/shiwu/fdcdee28
Easy Fun 山药紫薯圈,热量：391 大卡(每100克),http://www.boohee.com/shiwu/fd3ce3a1
Easy Fun 姜汁薄脆,热量：446 大卡(每100克),http://www.boohee.com/shiwu/fd5320fd
Easy Fun 奇亚籽豆乳味威化饼干，又叫Easy Fun 奇亚籽豆乳味威化,热量：471 大卡(每100克),http://www.boohee.com/shiwu/fdc6c56a
Easy Fun 奇亚籽(新包装),热量：456 大卡(每100克),http://www.boohee.com/shiwu/fdad1c67
