编号	影片名	导演名	主演名	主要奖项	评分	发行时间	发行国家地区	详情页
1	绅士大盗				10	2021年1月8日	美国	http://movie.mtime.com/269369
2	老友记	凯文·布赖特	詹妮弗·安妮斯顿	喜剧类剧集最佳男主角	9.6	1994年9月22日	美国	http://movie.mtime.com/15167
3	超级变变变				9.6		日本	http://movie.mtime.com/81776
4	英国疯狂汽车秀			最佳娱乐节目幕后团队	9.6	2002年10月20日	英国	http://movie.mtime.com/153148
5	中间人先生	纳什·埃哲顿			9.6	2018年9月25日	美国	http://movie.mtime.com/265534
6	海贼王	宇田钢之助	田中真弓		9.5	1999年10月20日	日本	http://movie.mtime.com/15374
7	植物私生活		大卫·艾登堡		9.5	1995年1月5日	英国	http://movie.mtime.com/19681
8	北国之恋	杉田成道	大泷秀治		9.5	1981年10月9日	日本	http://movie.mtime.com/68785
9	疾速档				9.5	2005年7月11日	英国	http://movie.mtime.com/114036
10	乐坛毒舌嗡嗡鸡				9.5	2002年3月9日	美国	http://movie.mtime.com/129971
11	人类星球		约翰·赫特		9.5	2011年1月13日	英国	http://movie.mtime.com/148428
12	地球脉动II		大卫·艾登堡	非剧情类节目最佳导演	9.5	2016年11月6日	英国	http://movie.mtime.com/237572
13	猫和老鼠	特克斯·艾弗里	特克斯·艾弗里		9.4	1965年9月26日	美国	http://movie.mtime.com/21581
14	奥普拉·温弗瑞秀		奥普拉·温弗里	最受欢迎脱口秀主持人	9.4	1986年9月8日	美国	http://movie.mtime.com/32236
15	居家男人	方刚亮	傅彪		9.4		中国	http://movie.mtime.com/57943
16	地球脉动	艾雷斯泰·法瑟吉尔	大卫·艾登堡	非剧情类节目最佳编剧	9.4	2006年2月27日	英国	http://movie.mtime.com/58244
17	生命脉动	玛塔·霍尔默斯	大卫·艾登堡	非剧情类节目最佳编剧	9.4	2009年10月12日	英国	http://movie.mtime.com/135803
18	野外求生		贝尔·格里尔斯	真人秀最佳摄影	9.4	2006年11月10日	英国	http://movie.mtime.com/147142
19	冰冻星球		大卫·艾登堡	非剧情类节目最佳摄影	9.4	2011年10月26日	英国	http://movie.mtime.com/156652
20	住在清潭洞	金锡允	李甫姫		9.4	2011年12月5日	韩国	http://movie.mtime.com/157848
21	宇宙时空之旅			非剧情类节目最佳导演	9.4	2014年3月9日	美国	http://movie.mtime.com/208804
22	兄弟连	大卫·弗兰科尔	戴米恩·刘易斯	迷你剧/电视电影最佳男主角	9.3	2001年9月9日	美国	http://movie.mtime.com/13786
23	天使	西恩·奥斯汀	大卫·伯伦纳兹		9.3	1999年10月5日	美国	http://movie.mtime.com/22067
24	周六夜现场	里昂·艾查索	弗莱德·阿米森		9.3	1975年10月11日	美国	http://movie.mtime.com/23375
25	成长的烦恼	安迪·卡迪夫	乔安娜·科恩斯	喜剧类系列剧最佳灯光执导	9.3	1985年9月24日	美国	http://movie.mtime.com/23594
26	星际牛仔	渡边信一郎	山寺宏一		9.3	1998年10月23日	日本	http://movie.mtime.com/23996
27	是，大臣			最佳轻型娱乐表演	9.3	1980年2月25日	英国	http://movie.mtime.com/40596
28	银魂	高松信司	阪口大助		9.3	2006年4月4日	日本	http://movie.mtime.com/65620
29	我们这一家		柚木凉香		9.3	2002年4月19日	日本	http://movie.mtime.com/66289
